Date;BOF (%nFK)
2006-01-01;99.6
2006-01-08;98.85714
2006-01-15;94.71429
2006-01-22;97.542854
2006-01-29;97.22857
2006-02-05;93.542854
2006-02-12;99.35714
2006-02-19;98.82857
2006-02-26;95.41428
2006-03-05;95.057144
2006-03-12;99.0
2006-03-19;97.42857
2006-03-26;90.84286
2006-04-02;96.314285
2006-04-09;91.37143
2006-04-16;85.7
2006-04-23;86.58572
2006-04-30;81.4
2006-05-07;76.14286
2006-05-14;64.42857
2006-05-21;61.72857
2006-05-28;61.95714
2006-06-04;64.9
2006-06-11;60.714287
2006-06-18;49.228573
2006-06-25;44.057144
2006-07-02;40.62857
2006-07-09;33.314285
2006-07-16;25.457142
2006-07-23;16.042856
2006-07-30;7.757143
2006-08-06;12.971429
2006-08-13;51.614285
2006-08-20;54.014286
2006-08-27;54.085716
2006-09-03;75.65714
2006-09-10;61.728573
2006-09-17;43.685715
2006-09-24;32.214287
2006-10-01;27.285715
2006-10-08;55.114285
2006-10-15;56.42857
2006-10-22;52.742855
2006-10-29;58.12857
2006-11-05;92.457146
2006-11-12;99.34286
2006-11-19;96.77143
2006-11-26;98.314285
2006-12-03;93.71429
2006-12-10;95.057144
2006-12-17;99.557144
2006-12-24;99.3
2006-12-31;98.942856
2007-01-07;100.0
2007-01-14;99.85714
2007-01-21;98.91428
2007-01-28;99.48572
2007-02-04;99.814285
2007-02-11;99.65714
2007-02-18;98.828575
2007-02-25;92.828575
2007-03-04;98.97143
2007-03-11;94.957146
2007-03-18;83.77143
2007-03-25;90.41428
2007-04-01;83.08572
2007-04-08;70.14286
2007-04-15;62.2
2007-04-22;52.057144
2007-04-29;45.5
2007-05-06;40.385715
2007-05-13;53.62857
2007-05-20;60.142857
2007-05-27;76.51428
2007-06-03;93.814285
2007-06-10;83.442856
2007-06-17;76.77143
2007-06-24;82.3
2007-07-01;79.02857
2007-07-08;76.87143
2007-07-15;73.58572
2007-07-22;66.48572
2007-07-29;70.91428
2007-08-05;69.6
2007-08-12;59.57143
2007-08-19;55.82857
2007-08-26;91.0
2007-09-02;81.84286
2007-09-09;96.442856
2007-09-16;94.828575
2007-09-23;86.314285
2007-09-30;89.77143
2007-10-07;94.62857
2007-10-14;88.442856
2007-10-21;84.14285
2007-10-28;90.91428
2007-11-04;89.2
2007-11-11;98.7
2007-11-18;99.72857
2007-11-25;97.814285
2007-12-02;99.314285
2007-12-09;99.78571
2007-12-16;99.48571
2007-12-23;96.98572
2007-12-30;93.5
2008-01-06;95.957146
2008-01-13;99.15714
2008-01-20;96.685715
2008-01-27;99.58572
2008-02-03;99.4
2008-02-10;96.75714
2008-02-17;91.72857
2008-02-24;88.27143
2008-03-02;88.97143
2008-03-09;97.75714
2008-03-16;95.62857
2008-03-23;99.75714
2008-03-30;96.07143
2008-04-06;95.11429
2008-04-13;99.17143
2008-04-20;98.75714
2008-04-27;94.942856
2008-05-04;85.2
2008-05-11;74.671425
2008-05-18;63.585712
2008-05-25;60.942856
2008-06-01;55.442856
2008-06-08;47.77143
2008-06-15;41.357143
2008-06-22;38.87143
2008-06-29;48.528572
2008-07-06;50.714287
2008-07-13;56.914288
2008-07-20;60.142857
2008-07-27;59.142857
2008-08-03;44.74286
2008-08-10;50.87143
2008-08-17;82.671425
2008-08-24;90.01428
2008-08-31;85.85715
2008-09-07;80.57143
2008-09-14;85.38571
2008-09-21;74.4
2008-09-28;81.84286
2008-10-05;75.942856
2008-10-12;73.41428
2008-10-19;72.78571
2008-10-26;80.78571
2008-11-02;97.62857
2008-11-09;94.442856
2008-11-16;89.5
2008-11-23;95.42857
2008-11-30;98.72857
2008-12-07;97.942856
2008-12-14;99.77143
2008-12-21;99.57143
2008-12-28;99.3
2009-01-04;97.61667
2009-01-11;99.1
2009-01-18;96.57143
2009-01-25;98.71429
2009-02-01;95.77143
2009-02-08;92.75714
2009-02-15;92.48572
2009-02-22;99.7
2009-03-01;99.75714
2009-03-08;99.38571
2009-03-15;99.5
2009-03-22;97.942856
2009-03-29;98.52857
2009-04-05;86.185715
2009-04-12;72.799995
2009-04-19;61.314285
2009-04-26;56.157143
2009-05-03;50.114285
2009-05-10;51.014286
2009-05-17;53.271427
2009-05-24;54.471428
2009-05-31;64.71429
2009-06-07;69.71429
2009-06-14;65.442856
2009-06-21;67.71429
2009-06-28;69.25714
2009-07-05;90.52857
2009-07-12;87.92857
2009-07-19;83.171425
2009-07-26;82.7
2009-08-02;71.828575
2009-08-09;58.757145
2009-08-16;62.82857
2009-08-23;51.971428
2009-08-30;50.87143
2009-09-06;47.342857
2009-09-13;45.814285
2009-09-20;42.885715
2009-09-27;38.2
2009-10-04;47.54286
2009-10-11;57.38571
2009-10-18;83.72857
2009-10-25;98.88571
2009-11-01;98.57143
2009-11-08;98.14286
2009-11-15;94.75714
2009-11-22;96.8
2009-11-29;94.52857
2009-12-06;98.15714
2009-12-13;99.814285
2009-12-20;99.75714
2009-12-27;99.457146
2010-01-03;99.6
2010-01-10;99.62857
2010-01-17;99.042854
2010-01-24;99.51428
2010-01-31;98.91428
2010-02-07;98.91429
2010-02-14;98.814285
2010-02-21;96.88571
2010-02-28;98.02857
2010-03-07;94.328575
2010-03-14;90.62857
2010-03-21;96.91428
2010-03-28;94.25714
2010-04-04;93.97143
2010-04-11;84.74286
2010-04-18;85.34286
2010-04-25;74.82857
2010-05-02;67.78571
2010-05-09;80.11429
2010-05-16;82.12857
2010-05-23;83.88571
2010-05-30;91.37143
2010-06-06;96.957146
2010-06-13;86.12857
2010-06-20;74.457146
2010-06-27;64.07143
2010-07-04;50.557144
2010-07-11;53.642857
2010-07-18;42.357143
2010-07-25;58.185715
2010-08-01;79.92857
2010-08-08;94.5
2010-08-15;90.57143
2010-08-22;91.62857
2010-08-29;87.37143
2010-09-05;97.11429
2010-09-12;80.38571
2010-09-19;94.57143
2010-09-26;88.9
2010-10-03;97.42857
2010-10-10;88.22857
2010-10-17;81.58572
2010-10-24;86.52857
2010-10-31;82.942856
2010-11-07;83.9
2010-11-14;97.84286
2010-11-21;99.47143
2010-11-28;99.74286
2010-12-05;99.72857
2010-12-12;99.97143
2010-12-19;99.84286
2010-12-26;99.8
2011-01-02;99.5
2011-01-09;99.51428
2011-01-16;99.42857
2011-01-23;99.171425
2011-01-30;98.98572
2011-02-06;97.47143
2011-02-13;96.557144
2011-02-20;95.542854
2011-02-27;89.5
2011-03-06;78.685715
2011-03-13;70.61429
2011-03-20;79.1
2011-03-27;80.314285
2011-04-03;71.87143
2011-04-10;74.457146
2011-04-17;82.75714
2011-04-24;75.7
2011-05-01;65.07143
2011-05-08;63.385715
2011-05-15;57.399998
2011-05-22;56.942856
2011-05-29;49.414284
2011-06-05;45.57143
2011-06-12;39.95714
2011-06-19;35.271427
2011-06-26;35.07143
2011-07-03;32.25714
2011-07-10;48.942856
2011-07-17;50.114285
2011-07-24;64.9
2011-07-31;74.171425
2011-08-07;96.4
2011-08-14;94.37143
2011-08-21;92.38571
2011-08-28;78.48572
2011-09-04;64.51428
2011-09-11;75.52857
2011-09-18;77.92857
2011-09-25;92.37143
2011-10-02;77.27143
2011-10-09;70.88571
2011-10-16;82.814285
2011-10-23;80.02857
2011-10-30;74.58572
2011-11-06;67.88571
2011-11-13;61.67143
2011-11-20;57.971428
2011-11-27;54.985714
2011-12-04;54.157143
2011-12-11;79.71429
2011-12-18;84.57143
2011-12-25;94.58572
2012-01-01;99.08572
2012-01-08;99.72857
2012-01-15;99.8
2012-01-22;100.0
2012-01-29;98.557144
2012-02-05;93.9
2012-02-12;92.12857
2012-02-19;95.25714
2012-02-26;99.171425
2012-03-04;98.24286
2012-03-11;91.7
2012-03-18;89.8
2012-03-25;79.0
2012-04-01;69.5
2012-04-08;69.47143
2012-04-15;71.62857
2012-04-22;71.171425
2012-04-29;67.57143
2012-05-06;59.585716
2012-05-13;60.42857
2012-05-20;60.17143
2012-05-27;51.357143
2012-06-03;49.285713
2012-06-10;51.37143
2012-06-17;49.92857
2012-06-24;50.514286
2012-07-01;48.2
2012-07-08;65.02857
2012-07-15;66.88571
2012-07-22;66.74286
2012-07-29;53.3
2012-08-05;44.54286
2012-08-12;45.17143
2012-08-19;32.4
2012-08-26;39.414288
2012-09-02;55.1
2012-09-09;55.24286
2012-09-16;54.685715
2012-09-23;55.685715
2012-09-30;57.37143
2012-10-07;54.757145
2012-10-14;53.428574
2012-10-21;51.528572
2012-10-28;52.514286
2012-11-04;67.84286
2012-11-11;79.72857
2012-11-18;85.77143
2012-11-25;81.27143
2012-12-02;91.457146
2012-12-09;99.7
2012-12-16;99.62857
2012-12-23;99.72857
2012-12-30;99.27143
2013-01-06;99.38333
2013-01-13;99.92857
2013-01-20;98.34286
2013-01-27;99.314285
2013-02-03;99.9
2013-02-10;99.74286
2013-02-17;99.27143
2013-02-24;99.8
2013-03-03;97.828575
2013-03-10;90.71429
2013-03-17;96.78571
2013-03-24;97.38571
2013-03-31;92.24286
2013-04-07;90.671425
2013-04-14;90.2
2013-04-21;82.22857
2013-04-28;71.87143
2013-05-05;73.1
2013-05-12;73.78571
2013-05-19;70.22857
2013-05-26;69.12857
2013-06-02;96.185715
2013-06-09;98.24286
2013-06-16;91.9
2013-06-23;85.28571
2013-06-30;96.52857
2013-07-07;86.828575
2013-07-14;71.042854
2013-07-21;57.1
2013-07-28;41.87143
2013-08-04;71.97143
2013-08-11;67.38571
2013-08-18;60.0
2013-08-25;48.3
2013-09-01;36.12857
2013-09-08;34.5
2013-09-15;55.357143
2013-09-22;58.357143
2013-09-29;63.285713
2013-10-06;56.971428
2013-10-13;71.37143
2013-10-20;92.57143
2013-10-27;89.12857
2013-11-03;88.171425
2013-11-10;96.27143
2013-11-17;98.85714
2013-11-24;99.07143
2013-12-01;98.685715
2013-12-08;99.457146
2013-12-15;98.51428
2013-12-22;95.28571
2013-12-29;95.21429
2014-01-05;93.14285
2014-01-12;98.7
2014-01-19;99.557144
